,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
8648,8648,E01008881,0.064942019,E01008881,Birmingham 067A,"1,733",0.4,4366
8649,8649,E01008882,0.511320233,E01008882,Birmingham 066A,"1,829",0.25,7438
8650,8650,E01008883,0.183681775,E01008883,Birmingham 078A,"2,136",0.39,5423
8651,8651,E01008884,-0.328172623,E01008884,Birmingham 078B,"2,242",0.7,3210
8652,8652,E01008885,-0.242463483,E01008885,Birmingham 076A,"1,309",0.19,6786
8653,8653,E01008886,0.497417425,E01008886,Birmingham 076B,"1,608",0.45,3550
8654,8654,E01008887,0.666620838,E01008887,Birmingham 078C,"1,623",0.46,3541
8655,8655,E01008888,-0.116383805,E01008888,Birmingham 076C,"1,600",0.22,7136
8656,8656,E01008889,1.686904986,E01008889,Birmingham 078D,"1,782",0.83,2140
8657,8657,E01008890,0.789856793,E01008890,Birmingham 089A,"1,929",0.31,6251
8658,8658,E01008891,0.649257513,E01008891,Birmingham 089B,"1,634",0.29,5579
8659,8659,E01008892,0.709942313,E01008892,Birmingham 089C,"1,583",0.14,11093
8660,8660,E01008893,1.475122889,E01008893,Birmingham 089D,"1,823",0.29,6370
8661,8661,E01008894,1.830585044,E01008894,Birmingham 089E,"1,612",0.27,6072
8662,8662,E01008895,1.250281034,E01008895,Birmingham 089F,"1,844",0.28,6500
8663,8663,E01008896,0.958063535,E01008896,Birmingham 066B,"1,653",0.2,8111
8664,8664,E01008897,0.390246338,E01008897,Birmingham 067B,"1,846",0.23,8096
8665,8665,E01008898,0.50790924,E01008898,Birmingham 066C,"1,799",0.2,9022
8666,8666,E01008899,0.243713848,E01008899,Birmingham 037A,"1,262",0.9,1406
8667,8667,E01008901,-0.052601839,E01008901,Birmingham 037C,"1,766",0.87,2030
8668,8668,E01008905,-0.945207184,E01008905,Birmingham 040A,"1,760",0.13,13836
8669,8669,E01008906,-0.9732662,E01008906,Birmingham 049A,"1,957",0.11,17520
8670,8670,E01008907,0.166625179,E01008907,Birmingham 040B,"1,788",0.17,10713
8671,8671,E01008909,-0.729025488,E01008909,Birmingham 041D,"1,912",0.23,8382
8672,8672,E01008910,-0.609994558,E01008910,Birmingham 050A,"1,606",0.49,3283
8673,8673,E01008911,-0.815600526,E01008911,Birmingham 049B,"2,018",0.24,8544
8674,8674,E01008913,-0.053932649,E01008913,Birmingham 050B,"1,894",0.29,6520
8675,8675,E01008914,0.033666604,E01008914,Birmingham 050C,"3,558",0.67,5305
8676,8676,E01008915,-0.339307239,E01008915,Birmingham 030A,"1,744",0.6,2930
8677,8677,E01008916,-0.244713337,E01008916,Birmingham 037E,"1,808",0.25,7169
8678,8678,E01008917,0.751165091,E01008917,Birmingham 102A,"1,297",0.36,3634
8679,8679,E01008918,1.35847276,E01008918,Birmingham 094A,"1,781",0.41,4305
8680,8680,E01008919,0.751340362,E01008919,Birmingham 095A,"1,545",0.64,2412
8681,8681,E01008920,0.445862849,E01008920,Birmingham 094B,"1,338",0.42,3204
8682,8682,E01008921,1.342355814,E01008921,Birmingham 094C,"1,421",0.62,2292
8683,8683,E01008923,2.55283819,E01008923,Birmingham 102B,"1,442",0.29,4940
8684,8684,E01008924,1.763976938,E01008924,Birmingham 101A,"1,437",0.41,3494
8685,8685,E01008925,1.003825182,E01008925,Birmingham 102C,"1,156",0.25,4544
8686,8686,E01008927,2.262038407,E01008927,Birmingham 102D,"1,418",0.37,3880
8687,8687,E01008928,2.506864428,E01008928,Birmingham 102E,"1,539",0.34,4543
8688,8688,E01008929,2.517827579,E01008929,Birmingham 106C,"1,581",0.53,2967
8689,8689,E01008930,1.017227006,E01008930,Birmingham 106D,"1,899",1.56,1220
8690,8690,E01008931,1.345935976,E01008931,Birmingham 094D,"1,438",0.63,2291
8691,8691,E01008932,1.255085739,E01008932,Birmingham 111A,"1,588",0.38,4220
8692,8692,E01008933,0.645122384,E01008933,Birmingham 105A,"1,552",0.46,3374
8693,8693,E01008934,0.487773341,E01008934,Birmingham 105B,"1,459",0.26,5590
8694,8694,E01008935,2.075065205,E01008935,Birmingham 111B,"1,796",0.56,3209
8695,8695,E01008936,1.072060733,E01008936,Birmingham 111C,"1,607",0.34,4739
8696,8696,E01008937,1.58928659,E01008937,Birmingham 115A,"1,446",0.35,4149
8697,8697,E01008938,1.904027527,E01008938,Birmingham 111D,"1,636",0.21,7634
8698,8698,E01008939,1.818910663,E01008939,Birmingham 111E,"1,526",0.35,4410
8699,8699,E01008940,2.702708131,E01008940,Birmingham 115B,"1,540",0.39,3920
8700,8700,E01008941,1.920115724,E01008941,Birmingham 115C,"1,536",0.24,6435
8701,8701,E01008942,1.725387552,E01008942,Birmingham 117A,"1,536",0.25,6252
8702,8702,E01008943,2.565536148,E01008943,Birmingham 117B,"1,554",0.49,3155
8703,8703,E01008944,1.650878474,E01008944,Birmingham 115D,"1,632",0.42,3886
8704,8704,E01008945,1.503033989,E01008945,Birmingham 122A,"1,798",0.28,6522
8705,8705,E01008946,1.412139189,E01008946,Birmingham 122B,"1,531",0.33,4663
8706,8706,E01008947,1.425669524,E01008947,Birmingham 122C,"1,350",0.19,7039
8707,8707,E01008948,0.753373759,E01008948,Birmingham 122D,"1,434",0.26,5515
8708,8708,E01008949,0.602606574,E01008949,Birmingham 122E,"1,175",0.19,6038
8709,8709,E01008950,1.864292863,E01008950,Birmingham 113A,"1,375",0.54,2535
8710,8710,E01008951,1.027344453,E01008951,Birmingham 112A,"1,373",0.38,3658
8711,8711,E01008952,1.226155511,E01008952,Birmingham 112B,"1,661",0.38,4353
8712,8712,E01008953,0.979167746,E01008953,Birmingham 107A,"1,507",0.34,4472
8713,8713,E01008954,1.070833431,E01008954,Birmingham 113B,"1,318",0.51,2563
8714,8714,E01008955,1.186064591,E01008955,Birmingham 112C,"1,713",0.48,3571
8715,8715,E01008956,1.389143553,E01008956,Birmingham 112D,"1,451",0.38,3816
8716,8716,E01008957,1.647503075,E01008957,Birmingham 112E,"1,767",0.24,7516
8717,8717,E01008958,1.575560537,E01008958,Birmingham 113C,"1,614",0.33,4933
8718,8718,E01008959,1.279209117,E01008959,Birmingham 116A,"1,725",0.37,4621
8719,8719,E01008960,0.823495793,E01008960,Birmingham 116B,"1,535",0.23,6535
8720,8720,E01008961,1.404261242,E01008961,Birmingham 116C,"1,409",0.27,5165
8721,8721,E01008962,1.910802991,E01008962,Birmingham 116D,"2,143",0.27,7841
8722,8722,E01008963,1.451749428,E01008963,Birmingham 107B,"1,299",0.49,2648
8723,8723,E01008964,1.644621215,E01008964,Birmingham 107C,"1,467",0.27,5342
8724,8724,E01008965,0.709855479,E01008965,Birmingham 107D,"1,443",0.3,4872
8725,8725,E01008966,1.941607532,E01008966,Birmingham 107E,"1,560",0.26,5959
8726,8726,E01008967,0.514310365,E01008967,Birmingham 110A,"1,694",0.37,4637
8727,8727,E01008968,0.638867123,E01008968,Birmingham 110B,"1,724",0.34,5078
8728,8728,E01008969,0.647396352,E01008969,Birmingham 117C,"1,587",0.44,3643
8729,8729,E01008970,1.045802685,E01008970,Birmingham 110C,"1,569",0.2,7993
8730,8730,E01008971,0.997509844,E01008971,Birmingham 117D,"1,680",0.51,3321
8731,8731,E01008972,2.031767956,E01008972,Birmingham 118A,"1,875",0.49,3789
8732,8732,E01008973,1.118524924,E01008973,Birmingham 118B,"1,942",0.38,5135
8733,8733,E01008974,0.603668863,E01008974,Birmingham 118C,"2,835",0.66,4318
8734,8734,E01008975,0.760665089,E01008975,Birmingham 118D,"1,502",0.34,4423
8735,8735,E01008976,1.860011042,E01008976,Birmingham 121A,"1,582",0.36,4394
8736,8736,E01008977,1.135738492,E01008977,Birmingham 123A,"1,668",0.35,4721
8737,8737,E01008978,4.302220034,E01008978,Birmingham 121B,"1,372",0.22,6273
8738,8738,E01008979,2.361209897,E01008979,Birmingham 121C,"1,649",0.34,4895
8739,8739,E01008980,2.35901424,E01008980,Birmingham 121D,"1,673",0.31,5364
8740,8740,E01008981,0.715101836,E01008981,Birmingham 110D,"1,542",0.33,4642
8741,8741,E01008982,-0.657318145,E01008982,Birmingham 079A,"1,750",0.42,4122
8742,8742,E01008984,0.841650608,E01008984,Birmingham 074A,"2,254",0.26,8784
8743,8743,E01008986,0.056098409,E01008986,Birmingham 064A,"2,013",0.23,8923
8744,8744,E01008987,-0.053473695,E01008987,Birmingham 064B,"1,718",0.16,10618
8745,8745,E01008988,0.154165466,E01008988,Birmingham 064C,"2,449",0.38,6469
8746,8746,E01008989,0.551166986,E01008989,Birmingham 064D,"2,180",0.27,7988
8747,8747,E01008990,-0.730980016,E01008990,Birmingham 064E,"1,296",0.76,1706
8748,8748,E01008991,-0.684452813,E01008991,Birmingham 064F,"1,588",0.69,2308
8749,8749,E01008992,-1.103974106,E01008992,Birmingham 079C,"2,014",0.64,3162
8750,8750,E01008994,-0.24992669,E01008994,Birmingham 074B,"1,832",0.5,3641
