,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
0,0,E01000001,-1.183468121,E01000001,City of London 001A,"1,636",0.13,12604
1,1,E01000002,-1.189839939,E01000002,City of London 001B,"1,558",0.23,6821
2,2,E01000003,-0.580350621,E01000003,City of London 001C,"1,786",0.06,30220
3,3,E01000005,-0.897459723,E01000005,City of London 001E,"1,888",0.19,9958
4,4,E01000006,-1.237532697,E01000006,Barking and Dagenham 016A,"2,094",0.15,14284
5,5,E01000007,-1.117076435,E01000007,Barking and Dagenham 015A,"2,502",0.2,12510
6,6,E01000008,-0.986296737,E01000008,Barking and Dagenham 015B,"1,597",0.2,8186
7,7,E01000009,-0.887415146,E01000009,Barking and Dagenham 016B,"1,929",0.13,15082
8,8,E01000010,-1.131777423,E01000010,Barking and Dagenham 015C,"3,579",0.35,10165
9,9,E01000011,-1.223075428,E01000011,Barking and Dagenham 016C,"1,726",0.09,18822
10,10,E01000012,-1.213586676,E01000012,Barking and Dagenham 015D,"2,343",0.14,16856
11,11,E01000013,-0.695280713,E01000013,Barking and Dagenham 013A,"1,855",0.21,8927
12,12,E01000014,-0.194428113,E01000014,Barking and Dagenham 013B,"1,661",0.34,4868
13,13,E01000015,-0.618684246,E01000015,Barking and Dagenham 009A,"2,452",0.28,8738
14,14,E01000016,-0.492085137,E01000016,Barking and Dagenham 009B,"1,724",0.2,8672
15,15,E01000017,-0.250707961,E01000017,Barking and Dagenham 009C,"1,538",0.16,9710
16,16,E01000018,-0.213594503,E01000018,Barking and Dagenham 009D,"1,718",0.17,9885
17,17,E01000019,-0.537407058,E01000019,Barking and Dagenham 023A,"1,563",0.18,8495
18,18,E01000020,-0.041554766,E01000020,Barking and Dagenham 023B,"1,930",0.19,10310
19,19,E01000021,-0.519050908,E01000021,Barking and Dagenham 008A,"1,756",0.17,10372
20,20,E01000022,-0.44829068,E01000022,Barking and Dagenham 008B,"1,433",0.13,11169
