,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
4935,4935,E01005061,1.871118168,E01005061,Manchester 018A,"1,602",0.86,1858
4936,4936,E01005062,-0.449016533,E01005062,Manchester 018B,"4,246",0.59,7230
4937,4937,E01005063,0.61301857,E01005063,Manchester 018C,"1,926",0.28,6770
4938,4938,E01005065,0.605521744,E01005065,Manchester 018D,"2,234",0.66,3388
4939,4939,E01005066,0.536302464,E01005066,Manchester 018E,"1,023",0.19,5342
4940,4940,E01005067,1.691482864,E01005067,Manchester 020A,"1,835",0.4,4624
4941,4941,E01005068,3.684736567,E01005068,Manchester 051A,"1,524",0.32,4711
4942,4942,E01005069,1.516165844,E01005069,Manchester 047A,"1,317",0.35,3814
4943,4943,E01005070,4.376856696,E01005070,Manchester 051B,"1,601",0.81,1984
4944,4944,E01005071,3.231734498,E01005071,Manchester 048A,"1,606",0.32,4968
4945,4945,E01005072,3.548220401,E01005072,Manchester 048B,"1,702",0.29,5918
4946,4946,E01005073,2.480007101,E01005073,Manchester 048C,"1,479",0.42,3537
4947,4947,E01005074,3.734458841,E01005074,Manchester 051C,"1,471",0.46,3228
4948,4948,E01005075,3.981947111,E01005075,Manchester 051D,"1,479",0.82,1812
4949,4949,E01005076,0.321097315,E01005076,Manchester 039A,"1,349",0.16,8337
4950,4950,E01005077,1.815510694,E01005077,Manchester 042A,"1,652",0.43,3876
4951,4951,E01005078,0.782980016,E01005078,Manchester 042B,"1,413",0.37,3855
4952,4952,E01005079,1.04926817,E01005079,Manchester 042C,"1,542",0.44,3513
4953,4953,E01005081,2.371979708,E01005081,Manchester 039C,"1,688",0.42,4026
4954,4954,E01005082,1.950655504,E01005082,Manchester 037A,"1,802",0.77,2326
4955,4955,E01005083,-0.013565546,E01005083,Manchester 039D,"1,761",0.36,4826
4956,4956,E01005084,1.144488722,E01005084,Manchester 042D,"1,988",0.87,2285
4957,4957,E01005085,2.922877987,E01005085,Manchester 049A,"1,609",0.29,5480
4958,4958,E01005086,3.832936298,E01005086,Manchester 049B,"1,722",0.25,6949
4959,4959,E01005087,3.442009454,E01005087,Manchester 050A,"2,131",0.3,7197
4960,4960,E01005088,4.089031033,E01005088,Manchester 050B,"1,772",0.35,5010
4961,4961,E01005089,4.355307329,E01005089,Manchester 049C,"1,712",0.29,5877
4962,4962,E01005090,4.76304364,E01005090,Manchester 050C,"1,686",0.33,5137
4963,4963,E01005091,2.645313876,E01005091,Manchester 050D,"2,649",0.27,9682
4964,4964,E01005092,2.407651884,E01005092,Manchester 015A,"1,828",0.26,7055
4965,4965,E01005093,2.959162816,E01005093,Manchester 012A,"1,725",0.31,5548
4966,4966,E01005094,2.052334675,E01005094,Manchester 012B,"1,482",0.41,3612
4967,4967,E01005097,1.79054267,E01005097,Manchester 012C,"1,720",0.52,3301
4968,4968,E01005098,3.066301348,E01005098,Manchester 001A,"1,518",0.34,4523
4969,4969,E01005099,2.938734138,E01005099,Manchester 001B,"1,997",0.64,3112
4970,4970,E01005100,1.910275631,E01005100,Manchester 001C,"1,595",0.81,1961
4971,4971,E01005101,2.661009935,E01005101,Manchester 002A,"1,681",0.41,4106
4972,4972,E01005102,1.968198086,E01005102,Manchester 001D,"1,280",0.18,7072
4973,4973,E01005103,2.81730415,E01005103,Manchester 001E,"1,809",0.45,4035
4974,4974,E01005104,1.48563106,E01005104,Manchester 004A,"1,940",0.53,3650
4975,4975,E01005105,0.655668554,E01005105,Manchester 015C,"3,148",0.56,5588
4976,4976,E01005106,1.632840124,E01005106,Manchester 015D,"2,372",1.03,2303
4977,4977,E01005107,2.214831933,E01005107,Manchester 015E,"1,824",0.72,2527
4978,4978,E01005108,1.482413324,E01005108,Manchester 017A,"2,795",0.75,3751
4979,4979,E01005111,2.508947622,E01005111,Manchester 047B,"1,393",0.26,5368
4980,4980,E01005112,2.37642247,E01005112,Manchester 048D,"1,621",0.77,2117
4981,4981,E01005113,3.472288313,E01005113,Manchester 047C,"1,561",0.25,6155
4982,4982,E01005114,1.38872548,E01005114,Manchester 047D,"1,725",0.53,3239
4983,4983,E01005115,2.377098058,E01005115,Manchester 044A,"1,983",0.35,5740
4984,4984,E01005116,2.280562621,E01005116,Manchester 047E,"1,969",0.43,4571
4985,4985,E01005117,3.037191594,E01005117,Manchester 048E,"2,090",0.99,2105
4986,4986,E01005118,0.843604328,E01005118,Manchester 034A,"1,507",0.22,6850
4987,4987,E01005119,1.883743509,E01005119,Manchester 041A,"1,675",0.29,5794
4988,4988,E01005120,0.731935986,E01005120,Manchester 034B,"1,818",0.22,8131
4989,4989,E01005121,1.711996485,E01005121,Manchester 041B,"1,580",0.26,6044
4990,4990,E01005122,1.626382172,E01005122,Manchester 041C,"1,680",0.34,4875
4991,4991,E01005123,2.078741885,E01005123,Manchester 041D,"1,668",0.22,7460
4992,4992,E01005124,1.823956814,E01005124,Manchester 041E,"1,769",0.24,7405
4993,4993,E01005125,1.777760984,E01005125,Manchester 040A,"1,544",0.23,6739
4994,4994,E01005126,0.719139437,E01005126,Manchester 045A,"1,938",0.29,6664
4995,4995,E01005128,-1.196555225,E01005128,Manchester 055A,"3,142",0.14,23018
4996,4996,E01005129,2.255040368,E01005129,Manchester 013B,"1,649",0.43,3831
4997,4997,E01005130,2.723988715,E01005130,Manchester 054A,"1,368",0.34,3979
4998,4998,E01005132,2.506192911,E01005132,Manchester 013C,"1,852",0.4,4647
4999,4999,E01005133,3.256392198,E01005133,Manchester 013D,"2,051",0.33,6230
5000,5000,E01005135,2.273396072,E01005135,Manchester 002B,"1,711",0.29,5882
5001,5001,E01005136,3.262659346,E01005136,Manchester 002C,"1,382",0.35,3970
5002,5002,E01005138,2.316347472,E01005138,Manchester 002D,"2,180",0.46,4758
5003,5003,E01005139,1.725473836,E01005139,Manchester 003B,"1,708",0.36,4805
5004,5004,E01005140,2.189591913,E01005140,Manchester 002E,"3,460",0.97,3578
5005,5005,E01005141,3.223281635,E01005141,Manchester 003C,"1,764",0.68,2613
5006,5006,E01005142,1.325473634,E01005142,Manchester 058A,"2,035",0.27,7438
5007,5007,E01005143,0.294489819,E01005143,Manchester 056A,"2,438",0.18,13892
5008,5008,E01005145,-0.01493106,E01005145,Manchester 008A,"2,967",0.19,15493
5009,5009,E01005146,0.453459274,E01005146,Manchester 008B,"2,642",0.6,4379
5010,5010,E01005147,0.452762406,E01005147,Manchester 058B,"2,698",0.56,4826
5011,5011,E01005149,0.289516284,E01005149,Manchester 008C,"1,887",0.15,12934
5012,5012,E01005150,0.791758089,E01005150,Manchester 029A,"2,062",0.25,8406
5013,5013,E01005151,1.067466884,E01005151,Manchester 029B,"1,458",0.19,7662
5014,5014,E01005152,0.381888711,E01005152,Manchester 029C,"1,348",0.19,7155
5015,5015,E01005153,0.838228129,E01005153,Manchester 037B,"1,583",0.18,9035
5016,5016,E01005154,0.388356198,E01005154,Manchester 033A,"1,578",0.15,10354
5017,5017,E01005155,0.392289033,E01005155,Manchester 037C,"1,419",0.38,3773
5018,5018,E01005156,0.165210012,E01005156,Manchester 033B,"1,424",0.27,5298
5019,5019,E01005157,0.277599581,E01005157,Manchester 037D,"1,528",0.89,1715
5020,5020,E01005158,1.029375785,E01005158,Manchester 033C,"1,459",0.34,4274
5021,5021,E01005159,0.407185156,E01005159,Manchester 029D,"1,519",0.25,6175
5022,5022,E01005160,0.835847678,E01005160,Manchester 004B,"1,881",3.41,552
5023,5023,E01005161,1.448910449,E01005161,Manchester 004C,"1,573",0.28,5584
5024,5024,E01005162,0.879361058,E01005162,Manchester 004D,"1,844",0.29,6409
5025,5025,E01005163,1.124820282,E01005163,Manchester 004E,"1,790",0.24,7446
5026,5026,E01005164,2.249737296,E01005164,Manchester 006A,"2,229",0.62,3592
5027,5027,E01005165,1.874565363,E01005165,Manchester 008D,"2,503",0.38,6643
5028,5028,E01005166,2.112784943,E01005166,Manchester 008E,"1,937",0.28,7039
5029,5029,E01005167,1.031288903,E01005167,Manchester 008F,"2,265",0.43,5297
5030,5030,E01005168,0.030226242,E01005168,Manchester 045B,"1,404",0.34,4075
5031,5031,E01005169,-0.163922694,E01005169,Manchester 045C,"1,365",0.75,1831
5032,5032,E01005170,0.075259629,E01005170,Manchester 045D,"1,473",0.71,2085
5033,5033,E01005171,0.195849207,E01005171,Manchester 045E,"1,705",0.54,3184
5034,5034,E01005172,0.221467735,E01005172,Manchester 043A,"1,608",0.31,5197
5035,5035,E01005173,0.001670792,E01005173,Manchester 043B,"1,561",0.82,1903
5036,5036,E01005174,-0.47634762,E01005174,Manchester 043C,"1,517",0.21,7343
5037,5037,E01005175,0.459343722,E01005175,Manchester 043D,"1,557",0.23,6634
