,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
8074,8074,E01008288,0.859525634,E01008288,Newcastle upon Tyne 027A,"1,326",0.38,3510
8075,8075,E01008289,2.104022533,E01008289,Newcastle upon Tyne 027B,"1,698",0.37,4597
8076,8076,E01008290,1.374244711,E01008290,Newcastle upon Tyne 027C,"1,690",0.55,3078
8077,8077,E01008291,1.9534257,E01008291,Newcastle upon Tyne 027D,"2,473",0.52,4713
8078,8078,E01008292,1.222904973,E01008292,Newcastle upon Tyne 027E,"1,330",0.21,6330
8079,8079,E01008293,0.397865518,E01008293,Newcastle upon Tyne 004A,"1,328",0.68,1961
8080,8080,E01008294,0.385254337,E01008294,Newcastle upon Tyne 001A,"1,382",0.37,3707
8081,8081,E01008295,1.162572195,E01008295,Newcastle upon Tyne 008A,"1,621",0.6,2683
8082,8082,E01008296,1.401469245,E01008296,Newcastle upon Tyne 011A,"1,293",0.35,3723
8083,8083,E01008297,1.963404302,E01008297,Newcastle upon Tyne 011B,"1,759",0.35,5007
8084,8084,E01008298,1.017799172,E01008298,Newcastle upon Tyne 011C,"1,648",0.35,4762
8085,8085,E01008299,1.485758328,E01008299,Newcastle upon Tyne 011D,"1,307",0.27,4841
8086,8086,E01008300,1.906944297,E01008300,Newcastle upon Tyne 016A,"1,710",0.34,5006
8087,8087,E01008301,2.366479617,E01008301,Newcastle upon Tyne 026A,"1,688",0.52,3241
8088,8088,E01008302,3.434579125,E01008302,Newcastle upon Tyne 026B,"1,541",0.27,5703
8089,8089,E01008303,2.70606703,E01008303,Newcastle upon Tyne 018A,"1,867",0.34,5547
8090,8090,E01008304,2.353709036,E01008304,Newcastle upon Tyne 026C,"2,151",0.51,4185
8091,8091,E01008305,1.749469635,E01008305,Newcastle upon Tyne 026D,"2,542",0.41,6140
8092,8092,E01008306,0.574552012,E01008306,Newcastle upon Tyne 001B,"1,860",12.63,147
8093,8093,E01008307,2.878496237,E01008307,Newcastle upon Tyne 001C,995,3.62,275
8094,8094,E01008308,0.077803961,E01008308,Newcastle upon Tyne 001D,"4,405",4.05,1089
8095,8095,E01008309,-0.034342909,E01008309,Newcastle upon Tyne 002A,"1,708",0.38,4549
8096,8096,E01008311,0.037451158,E01008311,Newcastle upon Tyne 001E,"2,123",0.6,3546
8097,8097,E01008312,0.03589724,E01008312,Newcastle upon Tyne 001F,"1,255",0.27,4716
8098,8098,E01008313,0.595635068,E01008313,Newcastle upon Tyne 001G,"1,148",0.25,4653
8099,8099,E01008314,0.100462814,E01008314,Newcastle upon Tyne 012A,"1,090",0.44,2462
8100,8100,E01008315,0.329176055,E01008315,Newcastle upon Tyne 012B,"1,445",0.43,3394
8101,8101,E01008316,0.330858405,E01008316,Newcastle upon Tyne 012C,"1,572",0.23,6802
8102,8102,E01008317,-0.094454408,E01008317,Newcastle upon Tyne 007A,"1,519",0.47,3199
8103,8103,E01008318,1.233127305,E01008318,Newcastle upon Tyne 012D,"1,342",0.19,7123
8104,8104,E01008319,0.035475199,E01008319,Newcastle upon Tyne 007B,"1,721",0.67,2585
8105,8105,E01008320,0.151155085,E01008320,Newcastle upon Tyne 007C,"1,484",0.41,3638
8106,8106,E01008321,0.214208231,E01008321,Newcastle upon Tyne 007D,"1,733",0.84,2071
8107,8107,E01008322,0.184261203,E01008322,Newcastle upon Tyne 007E,"1,485",0.3,5019
8108,8108,E01008323,0.254914708,E01008323,Newcastle upon Tyne 007F,"1,538",0.33,4731
