lsoa11,index2019
E01000001,-1.183468121
E01000002,-1.189839939
E01000003,-0.580350621
E01000005,-0.897459723
E01000006,-1.237532697
E01000007,-1.117076435
E01000008,-0.986296737
E01000009,-0.887415146
E01000010,-1.131777423
E01000011,-1.223075428
E01000012,-1.213586676
E01000013,-0.695280713
E01000014,-0.194428113
E01000015,-0.618684246
E01000016,-0.492085137
E01000017,-0.250707961
E01000018,-0.213594503
E01000019,-0.537407058
E01000020,-0.041554766
E01000021,-0.519050908
E01000022,-0.44829068
E01000023,-0.647914146
E01000024,-0.669621556
E01000025,-0.138152735
E01000027,-0.180967055
E01000028,0.43264137
E01000029,-0.671572953
E01000030,-0.407966107
E01000031,-0.640050372
E01000032,-0.767447473
E01000033,-0.052575187
E01000034,0.216913415
E01000035,-0.351443184
E01000036,-1.101979071
E01000037,-1.069340343
E01000038,-0.617957448
E01000039,-0.719591367
E01000040,-0.742442619
E01000041,-0.46686033
E01000042,-0.46831885
E01000043,-1.086598127
E01000044,-1.306641309
E01000045,-0.398515778
E01000046,-0.400166295
E01000048,-1.149668434
E01000049,-0.956131234
E01000050,-0.577013042
E01000051,-1.169886329
E01000052,-0.870485968
E01000053,0.139407641
E01000054,-0.33649883
E01000055,-0.383163078
E01000056,0.150287271
E01000057,-0.316309147
E01000058,-0.402931384
E01000059,-0.533580791
E01000060,0.468895652
E01000061,1.165942712
E01000062,-0.204443609
E01000063,-0.476515908
E01000064,0.366091064
E01000065,0.540922466
E01000066,-0.89018109
E01000067,-1.024326669
E01000068,-0.869204373
E01000069,-1.035728106
E01000070,-0.971625123
E01000071,-0.83860756
E01000072,0.073272931
E01000073,-0.055001105
E01000074,-0.006894718
E01000075,-0.297516758
E01000076,-0.040035667
E01000077,-0.350979714
E01000078,-0.408683571
E01000079,-0.311949048
E01000080,-0.176983854
E01000081,-0.334007099
E01000082,-0.455131134
E01000083,-0.423370491
E01000084,-0.264276223
E01000085,-0.650092353
E01000086,0.215916498
E01000087,-0.613398026
E01000088,-0.406156288
E01000089,-0.862808329
E01000090,-0.968151843
E01000091,0.051563423
E01000092,-0.788451247
E01000093,-0.13825759
E01000094,-0.833413071
E01000095,-0.728013205
E01000096,-0.532684869
E01000097,-0.274454216
E01000098,-0.103482468
E01000099,-0.572576063
E01000100,-0.194684064
E01000101,0.188927686
E01000102,-0.248569927
E01000103,-0.743959261
E01000104,-0.496913422
E01000105,0.188749565
E01000106,-0.069840143
E01000107,-0.572319989
E01000108,-0.510523696
E01000109,-0.453221013
E01000110,-0.538174542
E01000111,-0.608433794
E01000112,-0.748903001
E01000113,-0.702961662
E01000114,-0.92460766
E01000115,-0.889766949
E01000116,-0.473680614
E01000117,-0.386421253
E01000118,-0.394537609
E01000119,-0.567404175
E01000120,-0.706338026
E01000121,1.24131526
E01000122,-0.769551404
E01000123,-0.540718899
E01000124,-0.440226531
E01000125,-0.664162407
E01000126,-0.336400932
E01000127,-0.430412574
E01000128,-0.861930838
E01000129,-0.250804073
E01000130,-0.542651319
E01000131,-0.921227789
E01000132,-0.520216594
E01000133,0.023917606
E01000134,-0.697988848
E01000135,-0.389722755
E01000136,-0.797488386
E01000137,0.274033507
E01000138,-0.247045849
E01000139,-0.726551258
E01000140,-0.471871623
E01000141,-0.609430383
E01000142,-0.55114872
E01000143,-0.071664349
E01000144,-0.780392753
E01000145,-0.57854865
E01000146,-0.478290649
E01000147,-1.328281301
E01000148,-0.728112619
E01000150,-0.92583688
E01000151,0.166567904
E01000152,-0.351236926
E01000153,0.228391128
E01000154,-0.276808596
E01000155,-1.087753776
E01000156,-0.998400381
E01000157,-0.89223759
E01000158,-0.336579104
E01000159,-0.231582289
E01000160,-0.713167107
E01000161,0.094377784
E01000162,-0.146935891
E01000163,-0.172040341
E01000164,-0.521688711
E01000165,-0.783045888
E01000166,-0.691074548
E01000167,0.060361796
E01000168,-0.940885454
E01000169,-0.612732796
E01000170,-0.129911457
E01000171,-0.260440173
E01000172,-0.83326288
E01000173,-0.751701724
E01000174,-0.215334027
E01000175,-0.788277824
E01000176,-0.216809234
E01000177,-1.038010192
E01000178,-0.908141522
E01000179,-0.736176153
E01000180,-0.614891084
E01000181,-0.72911767
E01000182,-1.12407725
E01000183,0.013846312
E01000184,-0.471125032
E01000185,-0.027415568
E01000186,-1.067860656
E01000187,-0.255696857
E01000188,-0.820919696
E01000189,-0.73733579
E01000190,-0.858155372
E01000191,-0.814717432
E01000192,-0.604362421
E01000193,-0.339830414
E01000194,-0.604162883
E01000195,-0.126691884
E01000196,-0.674269527
E01000197,-0.900630533
E01000198,-0.787298191
E01000199,-0.888732642
E01000200,-0.868574781
E01000201,-1.086381083
E01000202,-1.024081928
E01000203,-0.901166269
E01000204,-0.871739614
E01000205,-0.950932724
E01000206,-1.134084559
E01000207,-0.853549447
E01000208,-1.008530595
E01000209,-0.637867428
E01000210,-0.783858465
E01000211,-0.582745818
E01000212,-0.782710316
E01000213,-0.868208908
E01000214,-0.992554854
E01000215,-0.704193521
E01000216,-0.505344435
E01000217,-0.982578296
E01000218,-0.679179503
E01000219,-0.694363631
E01000220,0.612273342
E01000221,-0.079908415
E01000222,-0.430018167
E01000223,-0.326146044
E01000224,-0.700881905
E01000225,-0.407920033
E01000226,-0.387951975
E01000227,-0.624137604
E01000228,-0.957045544
E01000229,-0.423472588
E01000230,-0.626942183
E01000231,-0.84245678
E01000232,-0.579671066
E01000233,-1.090636562
E01000234,-0.87396293
E01000235,-0.819046013
E01000236,-0.637300268
E01000237,-0.730772285
E01000238,-0.639224807
E01000239,-0.744069031
E01000240,-0.685146065
E01000241,-0.722592224
E01000242,-0.002856649
E01000243,-0.740406935
E01000244,-0.878932296
E01000245,-0.248507823
E01000246,-0.698805345
E01000247,-0.600963052
E01000248,-0.21965721
E01000249,-0.425736468
E01000250,-0.020769814
E01000251,0.089817783
E01000252,-0.287033507
E01000253,-0.362925127
E01000254,-0.17623599
E01000255,-0.464300743
E01000256,-0.723207623
E01000257,-0.480534608
E01000258,-0.888528833
E01000259,-0.593468068
E01000260,-0.977978381
E01000261,-0.912428846
E01000262,-0.857210911
E01000263,-1.318735898
E01000264,-0.826721802
E01000265,-0.542654523
E01000266,-0.674577756
E01000267,-0.683801746
E01000268,-0.556466635
E01000269,-0.61299912
E01000270,-0.64192775
E01000271,-0.603298611
E01000272,-0.633178461
E01000273,-0.020769775
E01000274,-0.403883256
E01000275,-0.124778996
E01000276,-0.904332376
E01000277,-0.244579987
E01000278,-1.029338529
E01000279,-0.933199772
E01000280,-0.888104439
E01000281,-0.254567045
E01000282,-0.68502499
E01000283,-0.855147441
E01000284,-0.326496863
E01000285,-0.265467969
E01000286,0.28451282
E01000287,0.216832016
E01000288,-0.695875627
E01000289,-0.076748833
E01000290,-0.009381496
E01000291,0.597782657
E01000292,-0.151289983
E01000293,-0.335276145
E01000294,0.472404559
E01000295,-0.977399266
E01000296,-0.907011517
E01000297,-0.788365636
E01000298,-1.018437176
E01000299,-0.371897057
E01000300,-0.694257231
E01000301,-0.842732967
E01000302,-0.157638385
E01000303,-1.003756573
E01000304,-0.605167997
E01000305,-0.651243579
E01000306,-0.869500885
E01000307,-0.594573907
E01000308,-0.404701417
E01000309,-0.641699311
E01000310,-0.348274633
E01000311,-0.882636638
E01000312,0.056366297
E01000313,-0.802961213
E01000314,-0.985290757
E01000315,0.119754902
E01000316,-0.749272468
E01000317,-0.598046959
E01000318,-0.52804612
E01000319,-0.769213381
E01000320,-0.33585167
E01000321,0.085587107
E01000322,-0.148962428
E01000323,0.201977414
E01000324,-0.450821434
E01000325,-0.344419435
E01000326,-0.226964385
E01000327,-0.448033627
E01000328,-0.212067775
E01000329,0.165065175
E01000330,0.087707223
E01000331,0.393101225
E01000332,-0.171775508
E01000333,-0.001879324
E01000334,-0.454737047
E01000335,-0.773837883
E01000336,-0.0500195
E01000337,-0.253559118
E01000338,-0.808536103
E01000339,-0.420927585
E01000340,-0.847497419
E01000341,-0.797726268
E01000342,-1.08680133
E01000343,-0.871317631
E01000344,-0.879462027
E01000345,-0.952357141
E01000346,-0.647269028
E01000347,-0.660241223
E01000348,-0.848630269
E01000349,-0.739509005
E01000350,-0.90643118
E01000351,-0.475385325
E01000352,-0.568940669
E01000353,-0.500024738
E01000354,0.061059525
E01000355,-0.615011531
E01000356,-0.12915382
E01000357,-0.983962773
E01000358,-0.363697685
E01000359,-0.387476506
E01000360,0.418328288
E01000361,-0.403689612
E01000362,-0.042472526
E01000363,-0.236435241
E01000364,-0.156592526
E01000365,0.383441562
E01000366,-0.205130153
E01000367,0.084829905
E01000368,0.096487459
E01000369,0.002986939
E01000370,-0.331985067
E01000371,-0.332506824
E01000372,0.529108196
E01000373,-0.265508417
E01000374,-0.013927735
E01000375,-0.133642705
E01000376,-0.407388625
E01000377,-0.095178183
E01000378,0.066329432
E01000379,0.110742804
E01000380,0.352231937
E01000381,0.046502058
E01000382,-0.659755144
E01000383,-0.17582326
E01000384,-0.316114855
E01000385,0.324354895
E01000386,1.258334875
E01000387,-0.287014579
E01000388,-0.293245303
E01000389,-0.605231401
E01000390,-0.561211805
E01000391,-0.755979731
E01000392,-0.301776909
E01000393,-0.514549231
E01000394,0.031783788
E01000395,-0.546219304
E01000396,-0.521580055
E01000398,-0.310600214
E01000399,-0.160998367
E01000400,-0.703141359
E01000401,0.135910283
E01000402,-0.268201855
E01000403,0.631225526
E01000404,0.411887705
E01000405,-0.193984195
E01000406,-0.253296978
E01000407,0.278995959
E01000408,-0.12879057
E01000409,-0.755057707
E01000410,-0.452629081
E01000411,-0.650700489
E01000412,-0.552042922
E01000413,-1.123919738
E01000414,-0.367218035
E01000415,-0.376777804
E01000416,0.118467645
E01000417,-0.532603139
E01000418,-0.573138583
E01000419,-0.641473775
E01000420,-0.760458207
E01000421,-0.406695056
E01000422,-0.294502638
E01000423,-1.034639292
E01000424,-0.265634807
E01000425,0.643478794
E01000426,-0.643710894
E01000427,-0.210753461
E01000428,1.094398864
E01000429,0.42858586
E01000430,-0.859931702
E01000431,-0.038189194
E01000432,-0.604947708
E01000433,-0.146601794
E01000434,0.021609005
E01000435,-0.038029116
E01000436,-1.111144344
E01000437,-0.657383128
E01000438,-0.060359298
E01000439,0.093398241
E01000440,-0.783417822
E01000441,0.190592196
E01000442,-0.913722467
E01000443,-0.135645857
E01000444,-0.739566916
E01000445,-0.401057085
E01000446,-0.730921848
E01000447,-0.774840474
E01000448,-1.155478935
E01000449,-0.957062515
E01000450,-0.044908774
E01000451,-0.674965178
E01000452,-0.608152883
E01000453,-0.970743406
E01000454,-0.304920641
E01000455,-1.135991402
E01000456,-0.873782835
E01000457,-0.219126532
E01000458,0.127261124
E01000459,-0.124753065
E01000460,-0.518724067
E01000461,-0.595226142
E01000462,0.524095716
E01000463,-0.86790379
E01000464,-0.126330369
E01000465,0.191650044
E01000466,-0.255277996
E01000467,0.260907134
E01000468,-0.45042955
E01000469,-0.106049609
E01000470,0.190221173
E01000471,-1.023514737
E01000472,-1.253919751
E01000473,-1.56796362
E01000474,-1.148256477
E01000475,-1.138770281
E01000476,-1.441340301
E01000477,-1.349150523
E01000478,-1.305764417
E01000479,-0.105898093
E01000480,-0.88912255
E01000481,-0.310369318
E01000482,0.622435886
E01000483,-0.295262026
E01000484,-0.122107383
E01000485,-0.33997161
E01000486,-1.130973278
E01000487,-0.667519421
E01000488,-0.663433291
E01000489,-0.370767325
E01000490,-0.098808131
E01000491,-0.453290916
E01000492,-0.63139458
E01000493,-0.893648171
E01000494,-0.224515924
E01000495,0.383831007
E01000497,-0.684960215
E01000498,-0.904473957
E01000499,-0.94409156
E01000501,-0.698724648
E01000502,-0.597648262
E01000503,-0.370502342
E01000504,-0.690031989
E01000505,-0.654443521
E01000506,-0.604526924
E01000507,-0.870246586
E01000508,-0.419729174
E01000509,-0.097788657
E01000510,-0.544416081
E01000511,-0.497189976
E01000512,-0.985074649
E01000513,-0.766043841
E01000514,-0.988056789
E01000515,-0.698014795
E01000516,-0.948844612
E01000517,-1.138430738
E01000518,-0.72587483
E01000519,-0.766460349
E01000520,-0.630153685
E01000521,-0.012100124
E01000522,-0.509687812
E01000523,-0.619652324
E01000524,-0.646431085
E01000525,-0.521937971
E01000526,0.200019258
E01000527,-0.183261884
E01000528,0.115732294
E01000530,-0.818527728
E01000531,-0.50021853
E01000532,-0.292897649
E01000533,-0.168617714
E01000534,-0.874286569
E01000535,-0.545610835
E01000536,-0.821091107
E01000538,-1.31916063
E01000539,-1.057380804
E01000540,-1.020283583
E01000541,-1.114699242
E01000543,-1.14662369
E01000544,0.098281983
E01000545,0.293560427
E01000546,0.173824043
E01000547,-0.319545724
E01000548,-0.190423118
E01000549,-0.457845954
E01000550,0.879765518
E01000551,0.129554288
E01000552,0.197557813
E01000553,-0.423732992
E01000554,-0.764527782
E01000555,-0.678304619
E01000556,-0.4918362
E01000557,-0.754940887
E01000558,-0.099214422
E01000559,-0.648662886
E01000560,-0.404169964
E01000561,-0.149525327
E01000562,-0.940585724
E01000563,-1.285371825
E01000564,-1.253219075
E01000565,-0.795549916
E01000566,-1.452169333
E01000567,-0.390039323
E01000568,-1.429072796
E01000569,-1.43200355
E01000570,-0.901002068
E01000571,-0.54649947
E01000572,-1.313852855
E01000573,-1.362446149
E01000574,-1.542319644
E01000575,-1.461061525
E01000576,-1.202080341
E01000577,-0.749509322
E01000578,0.1056544
E01000579,-0.094264938
E01000580,-0.523313374
E01000581,-0.916163065
E01000582,-0.709550724
E01000583,-0.680257441
E01000584,-0.647130087
E01000585,-0.661845794
E01000586,-0.268775244
E01000587,-0.58030731
E01000588,-0.632513814
E01000589,-0.909494073
E01000590,-0.487813367
E01000591,-1.174352451
E01000592,-0.5912041
E01000593,-1.073292091
E01000594,-1.28932767
E01000595,-0.144829035
E01000596,0.264192424
E01000599,-0.045746327
E01000600,-0.161035302
E01000601,0.691354059
E01000602,-0.299503861
E01000603,-0.023005134
E01000604,0.020835693
E01000605,-0.113459566
E01000606,-0.454567432
E01000607,-1.239066814
E01000608,-1.137046818
E01000609,-1.126648491
E01000610,-0.842530649
E01000611,-1.468325554
E01000612,-0.983004508
E01000613,-1.223907047
E01000615,-0.704692572
E01000616,-0.977741766
E01000617,-0.379082268
E01000618,-1.060029183
E01000619,-0.971127007
E01000620,-1.165352086
E01000621,-0.540769751
E01000622,-0.77813774
E01000623,-1.100882698
E01000624,-0.892947349
E01000625,-0.222160552
E01000626,0.193794901
E01000627,-0.23586204
E01000628,-0.025382327
E01000629,-0.854126976
E01000630,-0.954490319
E01000631,-1.671147974
E01000632,-1.576772709
E01000633,-1.45615331
E01000634,-1.373102442
E01000635,-1.212026558
E01000636,-1.362133672
E01000637,-0.385742658
E01000638,-0.70125527
E01000639,-0.979084102
E01000640,-1.050839075
E01000641,-0.619531636
E01000642,-0.648388232
E01000643,0.986893128
E01000644,-0.802994752
E01000645,-0.768501695
E01000646,0.110786807
E01000647,-0.569341658
E01000648,-0.192999193
E01000649,-0.480041485
E01000650,-0.05824314
E01000651,0.902324851
E01000652,-0.094862943
E01000653,-0.388809726
E01000654,-0.461312783
E01000655,-0.17616684
E01000656,-0.365254057
E01000657,-0.149901334
E01000658,-0.371191724
E01000659,-0.215704584
E01000661,0.848289452
E01000662,0.324738015
E01000663,0.302031266
E01000664,-0.009020072
E01000665,0.024591677
E01000666,-0.022837833
E01000667,-0.005607111
E01000668,0.390441818
E01000669,-0.074120645
E01000670,-0.570897806
E01000671,-0.136166507
E01000672,-0.473349959
E01000673,-0.378857219
E01000674,-0.377152943
E01000675,-0.518531667
E01000676,-0.338224674
E01000677,-0.558794214
E01000678,-0.601264969
E01000679,-0.364407106
E01000680,-0.573763602
E01000681,-0.411859085
E01000682,-0.500639261
E01000683,-0.142416545
E01000684,-0.699786034
E01000685,-0.205945126
E01000686,-0.093438597
E01000687,-0.457106705
E01000688,-0.385089817
E01000689,0.261737138
E01000690,-0.343713702
E01000691,0.008559453
E01000692,-0.446502544
E01000693,0.220960285
E01000694,-0.127758636
E01000695,-0.35433795
E01000696,-0.484326099
E01000697,-0.371780392
E01000698,-0.350704432
E01000699,-0.280992191
E01000700,-0.193796419
E01000701,-0.190307682
E01000702,-0.532640896
E01000703,-0.340062149
E01000704,-0.284103193
E01000705,-0.182869434
E01000706,0.315019883
E01000707,-0.642911239
E01000708,-0.292433297
E01000709,0.247684203
E01000710,-0.310268255
E01000711,-0.414101355
E01000712,-0.574758221
E01000713,-0.51635768
E01000714,-0.422134215
E01000715,-0.296078614
E01000716,0.100501087
E01000717,-0.523347098
E01000718,-0.226101653
E01000719,0.57156398
E01000720,1.310224006
E01000721,1.088123686
E01000722,0.043682021
E01000723,0.233346967
E01000724,0.887152488
E01000725,0.94283165
E01000726,0.489027599
E01000727,0.185687623
E01000728,0.894137774
E01000729,1.667327017
E01000730,1.358378916
E01000731,0.404446809
E01000732,0.209099927
E01000733,0.123451492
E01000734,-0.066978928
E01000735,1.048859373
E01000736,0.828993752
E01000737,1.278751906
E01000738,0.992405259
E01000739,1.921432061
E01000740,-0.316124809
E01000741,0.163882373
E01000742,-0.187029211
E01000743,1.151159934
E01000744,1.799969125
E01000745,-0.109540593
E01000746,-0.342928055
E01000747,-0.146179751
E01000748,-0.310930228
E01000749,0.022953412
E01000750,0.762512541
E01000751,-0.072947906
E01000752,-0.350641376
E01000753,-0.153200817
E01000754,-0.217542161
E01000755,-0.233652396
E01000756,-0.237555083
E01000757,-0.195430091
E01000758,-0.64964393
E01000759,-0.085822764
E01000760,0.146042889
E01000761,-0.285891232
E01000762,-0.133923312
E01000763,-0.370832073
E01000764,0.187174347
E01000765,-0.050815607
E01000766,-0.27227566
E01000767,-0.286982287
E01000768,0.159117413
E01000769,1.606179491
E01000770,-0.379122094
E01000771,-0.440601111
E01000772,-0.330986535
E01000773,-0.542261229
E01000774,-0.480214524
E01000775,-0.377030823
E01000777,-0.501386539
E01000778,-0.255868951
E01000779,0.43889884
E01000780,0.180404953
E01000781,0.5586529
E01000782,0.970130247
E01000783,0.236797806
E01000784,-0.18452083
E01000785,0.701293107
E01000786,0.178966899
E01000787,0.845823149
E01000788,0.389507032
E01000789,1.280333669
E01000790,-0.232438258
E01000791,0.434904578
E01000792,0.347785237
E01000793,-0.557947209
E01000794,-0.284286451
E01000795,-0.196394151
E01000796,0.134494134
E01000797,0.133115412
E01000798,0.951312992
E01000799,-0.056661778
E01000800,0.039877215
E01000801,-0.026182817
E01000802,-0.140490673
E01000803,0.049068104
E01000804,-0.426540903
E01000805,0.758681736
E01000806,0.066309158
E01000807,-0.391876186
E01000808,-6.56E-05
E01000809,-0.448904276
E01000810,-0.715470194
E01000811,-0.241686795
E01000812,0.117137552
E01000813,-0.466245776
E01000814,-0.499068566
E01000815,-0.58900747
E01000816,-0.273920489
E01000818,-0.213273414
E01000819,0.487170574
E01000820,0.892229698
E01000822,-0.287467882
E01000823,-0.633592582
E01000824,-0.251456472
E01000825,-0.186712376
E01000826,-0.646685643
E01000827,-0.482620746
E01000828,0.120689947
E01000829,-0.61430139
E01000830,-0.582215958
E01000831,-0.314357342
E01000832,-0.452039659
E01000833,-0.618069476
E01000834,-0.532844347
E01000835,-0.189204602
E01000836,-0.549997966
E01000837,-0.072041712
E01000838,0.182439661
