,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
7624,7624,E01007823,1.236257554,E01007823,Sheffield 069A,"1,691",0.42,4027
7625,7625,E01007824,0.55942961,E01007824,Sheffield 066A,"1,313",0.35,3800
7626,7626,E01007825,0.648451471,E01007825,Sheffield 066B,"1,452",1.26,1150
7627,7627,E01007826,0.338418771,E01007826,Sheffield 066C,"1,398",1.05,1333
7628,7628,E01007827,0.582098977,E01007827,Sheffield 064A,"1,547",1.55,1000
7629,7629,E01007828,0.994326421,E01007828,Sheffield 059A,"1,728",0.28,6134
7630,7630,E01007829,0.257777764,E01007829,Sheffield 059B,"1,449",0.44,3289
7631,7631,E01007830,1.78508158,E01007830,Sheffield 064B,"1,395",0.29,4864
7632,7632,E01007831,0.957911757,E01007831,Sheffield 059C,"1,507",0.31,4922
7633,7633,E01007832,0.772558714,E01007832,Sheffield 059D,"1,523",0.2,7477
7634,7634,E01007833,1.128675766,E01007833,Sheffield 064C,"1,525",1.17,1305
7635,7635,E01007834,0.880320451,E01007834,Sheffield 066D,"1,616",0.65,2484
7636,7636,E01007835,0.712296121,E01007835,Sheffield 062A,"1,419",0.6,2354
7637,7637,E01007836,1.00052651,E01007836,Sheffield 062B,"1,576",0.56,2813
7638,7638,E01007838,1.501242756,E01007838,Sheffield 076A,"1,489",0.35,4247
7639,7639,E01007839,1.415516879,E01007839,Sheffield 076B,"1,626",0.36,4547
7640,7640,E01007841,1.623800535,E01007841,Sheffield 076C,"1,511",0.45,3345
7641,7641,E01007842,2.057650651,E01007842,Sheffield 076D,"1,541",0.64,2390
7642,7642,E01007843,1.739606838,E01007843,Sheffield 062C,"1,632",0.37,4399
7643,7643,E01007846,0.449742513,E01007846,Sheffield 062D,"1,448",0.24,5971
7644,7644,E01007847,3.237207465,E01007847,Sheffield 014A,"1,244",0.16,7868
7645,7645,E01007848,2.609224018,E01007848,Sheffield 013A,"1,860",0.34,5493
7646,7646,E01007849,1.880688364,E01007849,Sheffield 010A,"2,228",0.56,4004
7647,7647,E01007850,1.451744831,E01007850,Sheffield 014B,"1,460",0.98,1483
7648,7648,E01007851,1.950004238,E01007851,Sheffield 013B,"1,399",0.44,3182
7649,7649,E01007852,1.713380684,E01007852,Sheffield 014C,"1,491",1.05,1422
7650,7650,E01007853,1.287742074,E01007853,Sheffield 014D,"1,785",0.39,4525
7651,7651,E01007854,1.757717599,E01007854,Sheffield 014E,"1,672",0.54,3092
7652,7652,E01007855,1.022188304,E01007855,Sheffield 014F,"2,243",0.46,4905
7653,7653,E01007856,2.54208127,E01007856,Sheffield 007A,"1,232",0.72,1708
7654,7654,E01007857,2.596894692,E01007857,Sheffield 010B,"1,678",0.33,5160
7655,7655,E01007858,-0.195518166,E01007858,Sheffield 038A,"1,612",0.39,4122
7656,7656,E01007859,-1.392682334,E01007859,Sheffield 036A,"2,028",0.28,7295
7657,7657,E01007860,-0.6174457,E01007860,Sheffield 036B,"1,684",0.28,6099
7658,7658,E01007861,-0.495684145,E01007861,Sheffield 038B,"1,573",0.59,2672
7659,7659,E01007862,-1.53910277,E01007862,Sheffield 038C,"5,163",0.69,7471
7660,7660,E01007863,-0.534029011,E01007863,Sheffield 036C,"1,687",0.28,6044
7661,7661,E01007864,-1.025884051,E01007864,Sheffield 036D,"2,154",0.12,18332
